sentence
তোমার নাম যেন কি সাঙকু পাঞ্জা ফাজিল এটা বেষ্ট ছিলো 😄😃😄😃
ভদ্রতার পরিচয় দিয়ে আপনি একমাত্র রোস্ট করতে পারেন😇no bad language😍we can see rnar with family 🤘for these reason 1 hour a ato view.একদিন আসবে ১ ঘন্টায় ১ মিলিয়ন view হবে আপনার🥰
এই ডায়লগটা হেব্বি লাগে - এইটা কোনো কথা 💬
সামুরাঈ টা দেখে মনে হইতাছে ভাংগারি দোকানের টিন দিয়া বানাইছে! লো বাজেট সামুরাঈ! 🤣🤣🤣
"ভাই আপনাকে দেখলে আমার খুব কষ্ট হয়।কারন ছোট ছোট ক্লিপ এর জন্য আপনাকে এই বিশ্রী বাংলাদেশের সিনেমা গুলোকে দেখতে হয়। 😭😭😭😭😭 Sir, you are a legend!!!!!!!!"
ভিডিও দেখার আগেই আমি দেখি ব্লপার আছে কীনা...😅 ব্লপার আরেকটু বাড়িয়ে দিয়েন....💖
"মনটা খারাপ ছিল কিন্তু ভিডিওটা দেখার পরে,🤣🤣🤪🤪 হাসতে হাসতে আমার পেট ব্যাথা হয়ে গেল।"
৭:১৮ সেকেন্ড ওই বেটার পিঠের নিচে এটা কি চাকা!!😂😂😂😂😂😂
Rnar এমন একটা চেনেল যেটা নাউজুবিল্লাহ মার্কা কথা ছাড়াই হাসাতে পারে।। ❤️
ভাই ভিএফএক্স দেখতিছিলাম না কার্টুন দেখতিছিলাম তাই বুঝি নাই🥴মধুচন্দ্রিমার ভিডিওর জন্য অত্যধিক আগ্রহী হয়ে আছি ভাই😇
"ভাই পারেন আপনি, 😂 ভিডিও বানানোর জন্য সম্পুর্ন সিনেমা দেখা লাগে।😂😂"
Director be like to Rnar : সুটিয়ে লাল করে দিব.... 😂😂😂😂
"বিশ্বাস করেন ভাই,,,  আমি যদি কোন টিভি চ্যানেলের মালিক হতাম তাহলে আপনার ভিডিও প্রতিদিন দিনে ১০ বার, রাতে ১২ বার চালাইতাম 🤣🤣"
"ভাই অনেক অনেক ধন্যবাদ, আপনি না থাকলে হয়তো দেশী অস্কার বিজয়ী মুভি গুলা দেখাই হইতোনা🤣🤣🤣"
দাদা আপনার ভিডিও দেখে খুব হাসি পায় 🤣🤣🤣  Love from India🇮🇳
এই নিয়ে আমি ৫৩ টা কমেন্ট করেছি।১২ টা লাভ পাইছি।ইউটিউব তাই বলতাছে।এবার আমি কি নোবেল পামু😪
"7.13 তে সবাই পিলারে বিচি বন্ধনী ফাটার দৃশ্য দেখেছেন,তবে আরেকটা জিনিষ খেয়াল করলাম,, ভিলেনের পিঠের নিচের স্কিট করার ৪ চাকা ওয়ালা গাড়ি টাও দেখা যাচ্ছে,, হায়রে আমার চুলের এডিটিং,,😆"
ভাই ❤ আপনার ভিডিও দেখে লাইক না দিয়ে পারি না 😍 তাই দেখার আগেই লাইক দেই 💚
"আপনার ভিডিও দেখে মাঝে মাঝে ঘুমের মধ্যেও হাসতে হাসতে জাইগ্গা যাই,😂,আজকে তো হাসির কারনে ঘুমই আইবো না🤣,,হালার সামুরাই😝😝"
আমি আগে কখনো আপনার ভিডিও দেখি 3 দিন যাবত সব ভিডিও দেখেছি ❤️ তোমার প্রতিভা আছে ভাই সামনে এগিয়ে যাও ❤️
